Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2000,2000,tonnes,229794,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2001,2001,tonnes,258363,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2002,2002,tonnes,300225,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2003,2003,tonnes,284971,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2004,2004,tonnes,275123,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2005,2005,tonnes,250543,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2006,2006,tonnes,256618,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2007,2007,tonnes,245471,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2008,2008,tonnes,237011,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2009,2009,tonnes,263146,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2010,2010,tonnes,212902,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2011,2011,tonnes,247229,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2012,2012,tonnes,220761,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2013,2013,tonnes,287314,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2014,2014,tonnes,273721,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2015,2015,tonnes,324994,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2016,2016,tonnes,241611,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2017,2017,tonnes,329371,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2018,2018,tonnes,263960,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2019,2019,tonnes,370710,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,515,Apples,2020,2020,tonnes,286080,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2000,2000,tonnes,30518,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2001,2001,tonnes,28304,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2002,2002,tonnes,29227,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2003,2003,tonnes,28975,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2004,2004,tonnes,27241,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2005,2005,tonnes,20476,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2006,2006,tonnes,21298,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2007,2007,tonnes,22382,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2008,2008,tonnes,23698,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2009,2009,tonnes,19971,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2010,2010,tonnes,20944,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2011,2011,tonnes,20917,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2012,2012,tonnes,22528,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2013,2013,tonnes,21204,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2014,2014,tonnes,24208,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2015,2015,tonnes,24258,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2016,2016,tonnes,26224,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2017,2017,tonnes,27844,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2018,2018,tonnes,22650,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2019,2019,tonnes,27100,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,486,Bananas,2020,2020,tonnes,26300,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2000,2000,tonnes,813780,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2001,2001,tonnes,917409,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2002,2002,tonnes,694822,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2003,2003,tonnes,881101,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2004,2004,tonnes,690886,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2005,2005,tonnes,774210,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2006,2006,tonnes,650384,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2007,2007,tonnes,721178,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2008,2008,tonnes,661724,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2009,2009,tonnes,601979,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2010,2010,tonnes,645918,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2011,2011,tonnes,670264,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2012,2012,tonnes,481223,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2013,2013,tonnes,546400,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2014,2014,tonnes,620823,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2015,2015,tonnes,593592,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2016,2016,tonnes,621164,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2017,2017,tonnes,587034,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2018,2018,tonnes,562960,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2019,2019,tonnes,638840,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,515,Apples,2020,2020,tonnes,522100,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2000,2000,tonnes,396973,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2001,2001,tonnes,421931,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2002,2002,tonnes,408733,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2003,2003,tonnes,402090,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2004,2004,tonnes,418121,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2005,2005,tonnes,345156,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2006,2006,tonnes,348368,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2007,2007,tonnes,358177,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2008,2008,tonnes,371228,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2009,2009,tonnes,352522,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2010,2010,tonnes,396589,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2011,2011,tonnes,346500,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2012,2012,tonnes,371211,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2013,2013,tonnes,361000,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2014,2014,tonnes,365268,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2015,2015,tonnes,381983,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2016,2016,tonnes,408716,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2017,2017,tonnes,421313,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2018,2018,tonnes,386230,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2019,2019,tonnes,398720,,Official data
QCL,Crops and livestock products,203,Spain,5510,Production,486,Bananas,2020,2020,tonnes,420140,,Official data